"","id","date","pan_res","mul_res","mul_bands","crs"
"1","010623053010_01_P001","2017-08-11 16:13:17","0.299999999999997","1.19999999999999","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"2","010623053010_01_P001","2017-08-11 16:13:17","0.299999999999997","1.19999999999999","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"3","010623053010_01_P001","2017-08-11 16:13:17","0.300000000000016","1.2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"4","010623053010_01_P001","2017-08-11 16:13:17","0.299999999999997","1.19999999999999","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"5","010623053010_01_P001","2017-08-11 16:13:17","0.300000000000004","1.19999999999998","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"6","010623053020_01_P001","2016-09-05 16:20:24","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"7","010623053020_01_P001","2016-09-05 16:20:24","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"8","010623053020_01_P002","2016-09-05 16:20:48","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"9","010623053020_01_P002","2016-09-05 16:20:48","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"10","010623053020_01_P002","2016-09-05 16:20:48","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"11","010623053030_01_P001","2016-09-05 16:20:47","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"12","010623053030_01_P001","2016-09-05 16:20:47","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"13","010623053030_01_P002","2016-09-05 16:20:24","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"14","010623053030_01_P002","2016-09-05 16:20:24","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"15","010623053030_01_P002","2016-09-05 16:20:24","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"16","010623053040_01_P001","2013-08-17 16:39:51","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"17","010623053040_01_P001","2013-08-17 16:39:51","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"18","010623053040_01_P001","2013-08-17 16:39:51","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"19","010623053040_01_P002","2013-08-17 16:39:27","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"20","010623053040_01_P002","2013-08-17 16:39:27","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
"21","010623053050_01_P001","2013-08-17 16:39:50","0.5","2","8","+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0"
