"","res","nlayers","crs","path","date","part","id","id_part"
"1",1.19999999999999,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053010_01/010623053010_01_P001_MUL/17AUG11161317-M2AS_R1C1-010623053010_01_P001.TIF",2017-08-11 16:13:01,"P001","010623053010_01","010623053010_01_P001"
"2",1.19999999999999,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053010_01/010623053010_01_P001_MUL/17AUG11161317-M2AS_R1C2-010623053010_01_P001.TIF",2017-08-11 16:13:01,"P001","010623053010_01","010623053010_01_P001"
"3",1.2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053010_01/010623053010_01_P001_MUL/17AUG11161317-M2AS_R1C3-010623053010_01_P001.TIF",2017-08-11 16:13:01,"P001","010623053010_01","010623053010_01_P001"
"4",1.19999999999999,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053010_01/010623053010_01_P001_MUL/17AUG11161317-M2AS_R2C1-010623053010_01_P001.TIF",2017-08-11 16:13:01,"P001","010623053010_01","010623053010_01_P001"
"5",1.19999999999998,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053010_01/010623053010_01_P001_MUL/17AUG11161317-M2AS_R2C2-010623053010_01_P001.TIF",2017-08-11 16:13:01,"P001","010623053010_01","010623053010_01_P001"
"6",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053020_01/010623053020_01_P001_MUL/16SEP05162024-M2AS_R1C1-010623053020_01_P001.TIF",2016-09-05 16:20:02,"P001","010623053020_01","010623053020_01_P001"
"7",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053020_01/010623053020_01_P001_MUL/16SEP05162024-M2AS_R1C2-010623053020_01_P001.TIF",2016-09-05 16:20:02,"P001","010623053020_01","010623053020_01_P001"
"8",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053020_01/010623053020_01_P002_MUL/16SEP05162048-M2AS_R1C1-010623053020_01_P002.TIF",2016-09-05 16:20:04,"P002","010623053020_01","010623053020_01_P002"
"9",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053020_01/010623053020_01_P002_MUL/16SEP05162048-M2AS_R1C2-010623053020_01_P002.TIF",2016-09-05 16:20:04,"P002","010623053020_01","010623053020_01_P002"
"10",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053020_01/010623053020_01_P002_MUL/16SEP05162048-M2AS_R2C1-010623053020_01_P002.TIF",2016-09-05 16:20:04,"P002","010623053020_01","010623053020_01_P002"
"11",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053030_01/010623053030_01_P001_MUL/16SEP05162048-M2AS_R1C1-010623053030_01_P001.TIF",2016-09-05 16:20:04,"P001","010623053030_01","010623053030_01_P001"
"12",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053030_01/010623053030_01_P001_MUL/16SEP05162048-M2AS_R1C2-010623053030_01_P001.TIF",2016-09-05 16:20:04,"P001","010623053030_01","010623053030_01_P001"
"13",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053030_01/010623053030_01_P002_MUL/16SEP05162024-M2AS_R1C1-010623053030_01_P002.TIF",2016-09-05 16:20:02,"P002","010623053030_01","010623053030_01_P002"
"14",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053030_01/010623053030_01_P002_MUL/16SEP05162024-M2AS_R1C2-010623053030_01_P002.TIF",2016-09-05 16:20:02,"P002","010623053030_01","010623053030_01_P002"
"15",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053030_01/010623053030_01_P002_MUL/16SEP05162024-M2AS_R2C1-010623053030_01_P002.TIF",2016-09-05 16:20:02,"P002","010623053030_01","010623053030_01_P002"
"16",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P001_MUL/13AUG17163951-M2AS_R1C1-010623053040_01_P001.TIF",2013-08-17 16:39:05,"P001","010623053040_01","010623053040_01_P001"
"17",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P001_MUL/13AUG17163951-M2AS_R1C2-010623053040_01_P001.TIF",2013-08-17 16:39:05,"P001","010623053040_01","010623053040_01_P001"
"18",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P001_MUL/13AUG17163951-M2AS_R2C1-010623053040_01_P001.TIF",2013-08-17 16:39:05,"P001","010623053040_01","010623053040_01_P001"
"19",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P002_MUL/13AUG17163927-M2AS_R1C1-010623053040_01_P002.TIF",2013-08-17 16:39:02,"P002","010623053040_01","010623053040_01_P002"
"20",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053040_01/010623053040_01_P002_MUL/13AUG17163927-M2AS_R1C2-010623053040_01_P002.TIF",2013-08-17 16:39:02,"P002","010623053040_01","010623053040_01_P002"
"21",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P001_MUL/13AUG17163951-M2AS-010623053050_01_P001.TIF",2013-08-17 16:39:05,"P001","010623053050_01","010623053050_01_P001"
"22",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P002_MUL/13AUG17163927-M2AS_R1C1-010623053050_01_P002.TIF",2013-08-17 16:39:02,"P002","010623053050_01","010623053050_01_P002"
"23",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P002_MUL/13AUG17163927-M2AS_R1C2-010623053050_01_P002.TIF",2013-08-17 16:39:02,"P002","010623053050_01","010623053050_01_P002"
"24",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053050_01/010623053050_01_P002_MUL/13AUG17163927-M2AS_R2C1-010623053050_01_P002.TIF",2013-08-17 16:39:02,"P002","010623053050_01","010623053050_01_P002"
"25",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053060_01/010623053060_01_P001_MUL/12JUL12162148-M2AS-010623053060_01_P001.TIF",2012-07-12 16:21:04,"P001","010623053060_01","010623053060_01_P001"
"26",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053070_01/010623053070_01_P001_MUL/11JUN03160459-M2AS_R1C1-010623053070_01_P001.TIF",2011-06-03 16:04:05,"P001","010623053070_01","010623053070_01_P001"
"27",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053070_01/010623053070_01_P001_MUL/11JUN03160459-M2AS_R1C2-010623053070_01_P001.TIF",2011-06-03 16:04:05,"P001","010623053070_01","010623053070_01_P001"
"28",2,8,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053070_01/010623053070_01_P001_MUL/11JUN03160459-M2AS_R2C1-010623053070_01_P001.TIF",2011-06-03 16:04:05,"P001","010623053070_01","010623053070_01_P001"
"29",2.4,4,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010623053080_01/010623053080_01_P001_MUL/09SEP05155038-M2AS-010623053080_01_P001.TIF",2009-09-05 15:50:03,"P001","010623053080_01","010623053080_01_P001"
"30",1.2,4,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010629903010_01/010629903010_01_P001_MUL/18AUG24160135-M2AS-010629903010_01_P001.TIF",2018-08-24 16:01:03,"P001","010629903010_01","010629903010_01_P001"
"31",1.19999999999999,4,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010629903010_01/010629903010_01_P002_MUL/18AUG24160106-M2AS_R1C1-010629903010_01_P002.TIF",2018-08-24 16:01:00,"P002","010629903010_01","010629903010_01_P002"
"32",1.19999999999999,4,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010629903010_01/010629903010_01_P002_MUL/18AUG24160106-M2AS_R1C2-010629903010_01_P002.TIF",2018-08-24 16:01:00,"P002","010629903010_01","010629903010_01_P002"
"33",1.20000000000003,4,"+proj=utm +zone=18 +datum=WGS84 +units=m +no_defs +ellps=WGS84 +towgs84=0,0,0","digitalglobe_archives/010629903010_01/010629903010_01_P002_MUL/18AUG24160106-M2AS_R1C3-010629903010_01_P002.TIF",2018-08-24 16:01:00,"P002","010629903010_01","010629903010_01_P002"
