"","bands","abscalfactor","effectivebandwidth","id_part","solar_zenith","sats","view_angle","tdi","date"
"1"," C",0.0143287,0.0405,"010577871010_01_P001",29.3," WV03",8.40000000000001," 24",2019-08-02 16:12:01
"2"," B",0.0176201,0.054,"010577871010_01_P001",29.3," WV03",8.40000000000001," 14",2019-08-02 16:12:01
"3"," G",0.0133187,0.0618,"010577871010_01_P001",29.3," WV03",8.40000000000001," 14",2019-08-02 16:12:01
"4"," Y",0.00684307,0.0381,"010577871010_01_P001",29.3," WV03",8.40000000000001," 24",2019-08-02 16:12:01
"5"," R",0.0102,0.0585,"010577871010_01_P001",29.3," WV03",8.40000000000001," 14",2019-08-02 16:12:01
"6"," RE",0.00621996,0.0387,"010577871010_01_P001",29.3," WV03",8.40000000000001," 24",2019-08-02 16:12:01
"7"," N",0.0117971,0.1004,"010577871010_01_P001",29.3," WV03",8.40000000000001," 14",2019-08-02 16:12:01
"8"," N2",0.0106378,0.0889,"010577871010_01_P001",29.3," WV03",8.40000000000001," 24",2019-08-02 16:12:01
"9"," P",0.0527336,0.2896,"010577871010_01_P001",29.3," WV03",8.2," 48",2019-08-02 16:12:16
"10"," C",0.0143436,0.0405,"010577871010_01_P002",29.3," WV03",13.6," 24",2019-08-02 16:12:02
"11"," B",0.0177199,0.054,"010577871010_01_P002",29.3," WV03",13.6," 14",2019-08-02 16:12:02
"12"," G",0.0134134,0.0618,"010577871010_01_P002",29.3," WV03",13.6," 14",2019-08-02 16:12:02
"13"," Y",0.006901951,0.0381,"010577871010_01_P002",29.3," WV03",13.6," 24",2019-08-02 16:12:02
"14"," R",0.010257,0.0585,"010577871010_01_P002",29.3," WV03",13.6," 14",2019-08-02 16:12:02
"15"," RE",0.00623175,0.0387,"010577871010_01_P002",29.3," WV03",13.6," 24",2019-08-02 16:12:02
"16"," N",0.0118467,0.1004,"010577871010_01_P002",29.3," WV03",13.6," 14",2019-08-02 16:12:02
"17"," N2",0.0106514,0.0889,"010577871010_01_P002",29.3," WV03",13.6," 24",2019-08-02 16:12:02
"18"," P",0.0530468,0.2896,"010577871010_01_P002",29.3," WV03",13.7," 48",2019-08-02 16:12:28
"19"," B",0.0160412,0.068,"010623053080_01_P001",41.4," QB02",13.4," 1",2009-09-05 15:50:03
"20"," G",0.0143847,0.099,"010623053080_01_P001",41.4," QB02",13.4," 1",2009-09-05 15:50:03
"21"," R",0.0126735,0.071,"010623053080_01_P001",41.4," QB02",13.4," 1",2009-09-05 15:50:03
"22"," N",0.0154242,0.114,"010623053080_01_P001",41.4," QB02",13.4," 1",2009-09-05 15:50:03
"23"," P",0.064476,0.398,"010623053080_01_P001",41.4," QB02",13.3," 13",2009-09-05 15:50:38
