"","sats","bands","X","abscalfactor","effectivebandwidth","id_part","solar_zenith","view_angle","date","gain","offset","exo_thuilier","exo_chkur","exo_wrc","alt_m"
"1","QB02","B",100,0.0160412,0.068,"010623053080_01_P001",41.4,13.4,"2009-09-05 15:50:03",1.053,-2.82,1949.59,1926.55,1924.62,450000
"2","QB02","N",103,0.0154242,0.114,"010623053080_01_P001",41.4,13.4,"2009-09-05 15:50:03",0.994,-4.722,1102.85,1107.47,1113.72,450000
"3","QB02","R",102,0.0126735,0.071,"010623053080_01_P001",41.4,13.4,"2009-09-05 15:50:03",0.998,-2.954,1553.78,1571.58,1574.65,450000
"4","QB02","G",101,0.0143847,0.099,"010623053080_01_P001",41.4,13.4,"2009-09-05 15:50:03",0.994,-3.338,1823.61,1844.26,1842.81,450000
"5","QB02","P",104,0.064476,0.398,"010623053080_01_P001",41.4,13.3,"2009-09-05 15:50:38",0.97,-1.491,1370.92,1376.3,1381.72,450000
"6","WV02","B",83,0.01783568,0.0543,"010623053060_01_P001",24.6,26.6,"2012-07-12 16:21:04",0.988,-5.736,2007.27,1977.4,1974.29,770000
"7","WV02","B",38,0.01260825,0.0543,"010623053030_01_P002",39.3,28.6,"2016-09-05 16:20:02",0.988,-5.736,2007.27,1977.4,1974.29,770000
"8","WV02","B",11,0.01260825,0.0543,"010623053020_01_P001",39.3,28.9,"2016-09-05 16:20:02",0.988,-5.736,2007.27,1977.4,1974.29,770000
"9","WV02","B",56,0.01783568,0.0543,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:02",0.988,-5.736,2007.27,1977.4,1974.29,770000
"10","WV02","B",65,0.01260825,0.0543,"010623053050_01_P001",32.1,32.5,"2013-08-17 16:39:05",0.988,-5.736,2007.27,1977.4,1974.29,770000
"11","WV02","B",74,0.01783568,0.0543,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",0.988,-5.736,2007.27,1977.4,1974.29,770000
"12","WV02","N",52,0.0122438,0.0989,"010623053040_01_P001",32.1,32.7,"2013-08-17 16:39:05",0.961,-3.3,1053.21,1061.4,1069.59,770000
"13","WV02","N",61,0.0122438,0.0989,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:02",0.961,-3.3,1053.21,1061.4,1069.59,770000
"14","WV02","N",34,0.0122438,0.0989,"010623053030_01_P001",39.3,31.3,"2016-09-05 16:20:04",0.961,-3.3,1053.21,1061.4,1069.59,770000
"15","WV02","N",16,0.0122438,0.0989,"010623053020_01_P001",39.3,28.9,"2016-09-05 16:20:02",0.961,-3.3,1053.21,1061.4,1069.59,770000
"16","WV02","N",25,0.0122438,0.0989,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",0.961,-3.3,1053.21,1061.4,1069.59,770000
"17","WV02","B",47,0.01260825,0.0543,"010623053040_01_P001",32.1,32.7,"2013-08-17 16:39:05",0.988,-5.736,2007.27,1977.4,1974.29,770000
"18","WV02","C",73,0.009295654,0.0473,"010623053050_01_P002",32.1,27,"2013-08-17 16:39:02",1.151,-7.478,1773.81,1759.24,1757.77,770000
